listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
1,1,37,37,7,opening a letter,paper,opening a letter,1,low-intensity,1,0,0,0.4
1,1,184,31,7,opening a letter,paper,opening a letter,1,low-intensity,1,0,0,0.4
1,2,27,33,7,chainsaw revving,motorcycle,chainsaw revving,1,high-intensity,1,0,1,0.8
1,2,230,35,7,chainsaw revving,motorcycle,chainsaw revving,1,high-intensity,1,0,1,0.8
1,3,19,41,6,dishes clanking,pots,dishes clanking,1,3,0,1,0,0.6
1,3,162,30,6,dishes clanking,pots,dishes clanking,1,3,0,1,0,0.6
1,4,11,50,3,ringtone,phone-ring,ringtone,1,3,0,0,0,0.4
1,4,230,36,3,ringtone,phone-ring,ringtone,1,3,0,0,0,0.4
1,5,29,20,1,cello,music,cello,1,3,0,0,0,0.8
1,5,162,19,1,cello,music,cello,1,3,0,0,0,0.8
1,6,32,23,3,car skidding,car-stopping-tires-sound,car skidding,1,high-intensity,1,0,0,0.4
1,6,171,11,3,car skidding,car-stopping-tires-sound,car skidding,1,high-intensity,1,0,0,0.4
1,7,37,47,1,chiseling,door-open,camera taking a picture,0,2,0,0,0,0.4
1,7,205,19,1,chiseling,door-open,bowling,0,2,0,0,0,0.4
1,8,27,47,4,record scratching,music,cuckoo clock,0.5,2,0,0,0,0.8
1,8,216,29,4,record scratching,music,record scratching,0.5,2,0,0,0,0.8
1,9,18,16,4,radio static,static,radio static,1,3,0,0,0,0.4
1,9,235,40,4,radio static,static,radio static,1,3,0,0,0,0.4
1,10,19,4,5,locker closing,someting-dropped,bowling,0,3,0,0,0,0.6
1,10,155,36,5,locker closing,someting-dropped,coin in a vending machine,0,3,0,0,0,0.6
1,11,33,18,5,chair rolling,chair-moving,chair rolling,1,low-intensity,1,1,1,0.6
1,11,215,18,5,chair rolling,chair-moving,chair rolling,1,low-intensity,1,1,1,0.6
1,12,14,16,2,phone vibrating,phone-ring,phone vibrating,1,low-intensity,1,0,1,0.8
1,12,214,40,2,phone vibrating,phone-ring,phone vibrating,1,low-intensity,1,0,1,0.8
1,13,20,37,7,marching,someting-heavy-being-moved,marching,0.5,3,0,1,0,0.6
1,13,235,12,7,marching,someting-heavy-being-moved,hammering metal,0.5,3,0,1,0,0.6
1,14,28,37,1,car horn,door-bell,pager beeps,0,high-intensity,0,0,0,0.4
1,14,47,15,1,car horn,door-bell,elevator door,0,high-intensity,0,0,0,0.4
1,15,1,23,3,pager beeps,phone-ring-or-alarm,pager beeps,1,3,0,0,0,1
1,15,210,21,3,pager beeps,phone-ring-or-alarm,pager beeps,1,3,0,0,0,1
1,16,14,2,5,knocking on door,hammer-on-nail,knocking on door,1,3,0,0,0,0.8
1,16,227,39,5,knocking on door,hammer-on-nail,knocking on door,1,3,0,0,0,0.8
1,17,16,35,3,slicing bread,static,drink fizzing,0,low-intensity,0,1,1,0.2
1,17,138,45,3,slicing bread,static,walking on leaves,0,low-intensity,0,1,1,0.2
1,18,4,23,1,key opening door,pen-dropped,paper cutter,0,low-intensity,0,0,1,0.4
1,18,212,37,1,key opening door,pen-dropped,camera taking a picture,0,low-intensity,0,0,1,0.4
1,19,9,39,5,clipping hair,smoething-moving-,drink fizzing,0,low-intensity,1,0,0,0.6
1,19,206,14,5,clipping hair,smoething-moving-,writing on a chalkboard,0,low-intensity,1,0,0,0.6
1,20,10,28,7,chopping food,knife-cutting,chopping food,0.5,low-intensity,0,0,1,0.6
1,20,167,1,7,chopping food,knife-cutting,tree falling,0.5,low-intensity,0,0,1,0.6
1,21,24,30,4,cartoon sound effects,tv-,cartoon sound effects,1,3,0,0,0,0.6
1,21,181,49,4,cartoon sound effects,tv-,cartoon sound effects,1,3,0,0,0,0.6
1,22,32,36,5,bicycle,someting-moving-in-circule,heart beats,0,low-intensity,0,0,0,0.4
1,22,206,23,5,bicycle,someting-moving-in-circule,coins dropping,0,low-intensity,0,0,0,0.4
