listener,listener_trial,level_condition,sound_heard,listener_response,proportion_correct,typical_source_intensity
1,1,2,busy signal,busy signal,1,2
1,2,7,kettle whistling,kettle whistling,1,3
1,3,2,clipping hair,clipping hair,1,low-intensity
1,4,4,dog barking,dog barking,1,high-intensity
1,5,4,blender,blender,1,high-intensity
1,6,2,dialup,dialup,1,3
1,7,1,crowd laughing,crowd laughing,1,high-intensity
1,8,6,church bells,church bells,1,high-intensity
1,9,6,chicken cluck,chicken cluck,1,2
1,10,6,typing,typing,1,low-intensity
1,11,7,traffic noises,bus accelerating,0,high-intensity
1,12,4,drawer closing,drawer closing,1,low-intensity
1,13,4,noisemaker,bike bell,0,high-intensity
1,14,5,skate boarding,skate boarding,1,2
1,15,6,fire alarm,fire alarm,1,high-intensity
1,16,3,explosion,thunder,0,high-intensity
1,17,5,mac startup sound,mac startup sound,1,low-intensity
1,18,6,screwing in a nail,chopping wood,0,2
1,19,7,chair rolling,sliding door,0,low-intensity
1,20,5,rooster crowing,rooster crowing,1,high-intensity
1,21,1,fire,walking on gravel,0,low-intensity
1,22,4,gunshots,gunshots,1,high-intensity
1,23,1,key opening door,spray can spraying,0,low-intensity
1,24,1,owl hooting,owl hooting,1,low-intensity
1,25,3,german,german,1,2
1,26,6,music box,music box,1,low-intensity
1,27,7,tooth brushing,tooth brushing,1,low-intensity
1,28,4,windup toy,windup toy,1,low-intensity
1,29,4,horse galloping,horse galloping,1,2
1,30,6,bike bell,bike bell,1,2
1,31,3,opening a soda bottle,opening a soda bottle,1,low-intensity
1,32,6,opening a letter,opening a letter,1,low-intensity
1,33,4,chainsaw revving,chainsaw revving,1,high-intensity
1,34,7,oboe,flute,0,3
1,35,3,telephone ringing,telephone ringing,1,high-intensity
1,36,7,microwave,microwave,1,low-intensity
1,37,7,gorilla,gorilla,1,3
1,38,7,chopping wood,chopping wood,1,3
1,39,5,volcanic eruption,volcanic eruption,1,high-intensity
1,40,5,cartoon sound effects,tap dancing,0,3
1,41,1,flute,flute,1,3
1,42,6,sipping,sipping,1,2
1,43,1,doorbell,doorbell,1,high-intensity
1,44,5,paper cutter,paper cutter,1,low-intensity
1,45,3,bees,bees,1,low-intensity
