listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
1,2,27,33,7,chainsaw revving,motorcycle,chainsaw revving,1,high-intensity,1,0,1,0.8
1,2,230,35,7,chainsaw revving,motorcycle,chainsaw revving,1,high-intensity,1,0,1,0.8
1,11,33,18,5,chair rolling,chair-moving,chair rolling,1,low-intensity,1,1,1,0.6
1,11,215,18,5,chair rolling,chair-moving,chair rolling,1,low-intensity,1,1,1,0.6
1,12,14,16,2,phone vibrating,phone-ring,phone vibrating,1,low-intensity,1,0,1,0.8
1,12,214,40,2,phone vibrating,phone-ring,phone vibrating,1,low-intensity,1,0,1,0.8
1,17,16,35,3,slicing bread,static,drink fizzing,0,low-intensity,0,1,1,0.2
1,17,138,45,3,slicing bread,static,walking on leaves,0,low-intensity,0,1,1,0.2
1,18,4,23,1,key opening door,pen-dropped,paper cutter,0,low-intensity,0,0,1,0.4
1,18,212,37,1,key opening door,pen-dropped,camera taking a picture,0,low-intensity,0,0,1,0.4
1,20,10,28,7,chopping food,knife-cutting,chopping food,0.5,low-intensity,0,0,1,0.6
1,20,167,1,7,chopping food,knife-cutting,tree falling,0.5,low-intensity,0,0,1,0.6
1,23,15,21,2,fire alarm,watch-alarm,heart monitor,0,high-intensity,1,0,1,0.2
1,23,201,32,2,fire alarm,watch-alarm,cartoon sound effects,0,high-intensity,1,0,1,0.2
1,25,5,37,7,boat horn,ship-horn,boat horn,0.5,high-intensity,1,0,1,0.8
1,25,48,2,7,boat horn,ship-horn,chopping food,0.5,high-intensity,1,0,1,0.8
1,27,33,34,7,velcro,rocks,walking on a hard surface,0,low-intensity,1,0,1,0.8
1,27,156,45,7,velcro,rocks,pool balls colliding,0,low-intensity,1,0,1,0.8
1,28,4,33,7,gunshots,gun-shots,gunshots,1,high-intensity,1,0,1,0.6
1,28,161,46,7,gunshots,gun-shots,gunshots,1,high-intensity,1,0,1,0.6
1,29,12,13,4,car crash,cars-hitting,car crash,1,high-intensity,1,0,1,0.4
1,29,49,24,4,car crash,cars-hitting,car crash,1,high-intensity,1,0,1,0.4
1,34,16,37,1,zipper,nan,cymbol crash,0,low-intensity,1,0,1,0.2
1,34,209,7,1,zipper,nan,cash register,0,low-intensity,1,0,1,0.2
1,39,8,43,2,running on sand,walking,running on sand,0.5,low-intensity,1,0,1,0.2
1,39,240,37,2,running on sand,walking,marching,0.5,low-intensity,1,0,1,0.2
1,41,31,20,7,typing,motor-sound,truck,0,low-intensity,1,1,1,0.8
1,41,189,28,7,typing,motor-sound,record scratching,0,low-intensity,1,1,1,0.8
1,43,17,36,6,scream,screeming,scream,1,high-intensity,0,0,1,0.4
1,43,200,45,6,scream,screeming,scream,1,high-intensity,0,0,1,0.4
1,47,14,14,6,bowling,things-dropped,jumping rope,0,high-intensity,1,0,1,0.6
1,47,235,14,6,bowling,things-dropped,horse galloping,0,high-intensity,1,0,1,0.6
1,51,3,35,1,spray can spraying,nan,darth vader,0,low-intensity,0,0,1,0.2
1,51,199,7,1,spray can spraying,nan,drinking,0,low-intensity,0,0,1,0.2
1,53,32,49,5,music box,music-box,music box,1,low-intensity,1,0,1,0.6
1,53,198,35,5,music box,music-box,music box,1,low-intensity,1,0,1,0.6
1,55,3,19,4,water boiling,something-rolling,car accelerating,0,low-intensity,1,0,1,0.8
1,55,43,2,4,water boiling,something-rolling,electric bass,0,low-intensity,1,0,1,0.8
1,56,6,12,2,breathing,bell,keys jingling,0,low-intensity,1,0,1,0.8
1,56,174,13,2,breathing,bell,heart monitor,0,low-intensity,1,0,1,0.8
1,60,21,2,4,slot machine,shaking,grating food,0,high-intensity,1,0,1,0.2
1,60,203,1,4,slot machine,shaking,rollerblading,0,high-intensity,1,0,1,0.2
1,65,24,14,3,shuffling,cutting,shuffling,0.5,low-intensity,1,0,1,0.6
1,65,194,18,3,shuffling,cutting,violin,0.5,low-intensity,1,0,1,0.6
1,68,41,13,7,thunder,thunder,thunder,1,high-intensity,1,0,1,0.4
1,68,189,33,7,thunder,thunder,thunder,1,high-intensity,1,0,1,0.4
1,71,28,8,2,drum roll,motor,helicopter,0.5,high-intensity,1,0,1,0.6
1,71,203,37,2,drum roll,motor,drum roll,0.5,high-intensity,1,0,1,0.6
1,72,11,5,3,school bell,school-bell,school bell,1,high-intensity,0,0,1,0.4
1,72,141,17,3,school bell,school-bell,school bell,1,high-intensity,0,0,1,0.4
1,75,40,20,5,cymbol crash,music-drum,cymbol crash,1,high-intensity,1,0,1,0.6
1,75,50,50,5,cymbol crash,music-drum,cymbol crash,1,high-intensity,1,0,1,0.6
1,77,15,30,6,drink fizzing,something-being-poure,drink fizzing,0.5,low-intensity,1,0,1,0.4
1,77,148,22,6,drink fizzing,something-being-poure,tooth brushing,0.5,low-intensity,1,0,1,0.4
1,78,3,44,1,camera turning on,paper-clip-dropped,camera turning on,1,low-intensity,1,0,1,0.4
1,78,214,48,1,camera turning on,paper-clip-dropped,camera turning on,1,low-intensity,1,0,1,0.4
1,79,3,27,2,mac startup sound,music,mac startup sound,0.5,low-intensity,1,0,1,0.8
1,79,149,36,2,mac startup sound,music,piano,0.5,low-intensity,1,0,1,0.8
1,82,34,49,4,vacuum,vacume-cleaner,vacuum,1,high-intensity,1,1,1,0.6
1,82,151,23,4,vacuum,vacume-cleaner,vacuum,1,high-intensity,1,1,1,0.6
1,85,27,41,4,crowd laughing,people-laughing,crowd laughing,1,high-intensity,0,0,1,0.2
1,85,204,45,4,crowd laughing,people-laughing,crowd laughing,1,high-intensity,0,0,1,0.2
1,93,37,21,3,humming,person-hummimg,humming,1,low-intensity,1,0,1,0.4
1,93,210,18,3,humming,person-hummimg,humming,1,low-intensity,1,0,1,0.4
1,96,4,12,1,truck beeping,car-being-reversed-sound,truck beeping,1,high-intensity,1,0,1,0.2
1,96,142,44,1,truck beeping,car-being-reversed-sound,truck beeping,1,high-intensity,1,0,1,0.2
1,98,35,6,3,noisemaker,baby-crying,witch cackle,0,high-intensity,1,0,1,0.6
1,98,245,36,3,noisemaker,baby-crying,dialup,0,high-intensity,1,0,1,0.6
1,100,12,42,6,car idling,motor-running,car idling,1,low-intensity,1,1,1,0.8
1,100,44,20,6,car idling,motor-running,car idling,1,low-intensity,1,1,1,0.8
1,101,26,5,2,stream,water,stream,1,low-intensity,1,1,1,0.6
1,101,159,2,2,stream,water,stream,1,low-intensity,1,1,1,0.6
1,103,11,4,4,electric drill,mixer,electric drill,1,high-intensity,1,0,1,0.2
1,103,204,49,4,electric drill,mixer,electric drill,1,high-intensity,1,0,1,0.2
1,111,34,38,1,alarm clock,alarm,alarm clock,1,high-intensity,0,0,1,0.4
1,111,199,19,1,alarm clock,alarm,alarm clock,1,high-intensity,0,0,1,0.4
1,113,14,32,1,turning a lock,walking,walking on a hard surface,0,low-intensity,0,0,1,0.4
1,113,183,10,1,turning a lock,walking,skate boarding,0,low-intensity,0,0,1,0.4
1,114,11,41,1,match lighting,water,tuba,0,low-intensity,0,0,1,0.8
1,114,250,6,1,match lighting,water,liquid pouring out of a bottle,0,low-intensity,0,0,1,0.8
1,117,31,6,7,dog barking,dog-barking,dog barking,1,high-intensity,0,1,1,0.4
1,117,230,4,7,dog barking,dog-barking,dog barking,1,high-intensity,0,1,1,0.4
1,118,25,50,1,crowd noise,people-talking,crowd noise,1,high-intensity,0,0,1,0.4
1,118,173,17,1,crowd noise,people-talking,crowd noise,1,high-intensity,0,0,1,0.4
1,119,2,50,6,glass shattering,glass-breaks,glass shattering,1,high-intensity,1,0,1,0.4
1,119,183,46,6,glass shattering,glass-breaks,glass shattering,1,high-intensity,1,0,1,0.4
1,124,34,10,6,jackhammer,jack-hammer,jackhammer,1,high-intensity,1,0,1,0.4
1,124,146,5,6,jackhammer,jack-hammer,jackhammer,1,high-intensity,1,0,1,0.4
1,127,21,32,3,train passing by,air-plane,train passing by,0.5,high-intensity,1,0,1,0.2
1,127,187,10,3,train passing by,air-plane,gong,0.5,high-intensity,1,0,1,0.2
1,142,1,28,1,tooth brushing,water,liquid pouring out of a bottle,0,low-intensity,1,0,1,0.8
1,142,228,21,1,tooth brushing,water,radio static,0,low-intensity,1,0,1,0.8
1,143,13,28,1,paper cutter,window-opened,owl hooting,0.5,low-intensity,0,0,1,0.6
1,143,238,24,1,paper cutter,window-opened,paper cutter,0.5,low-intensity,0,0,1,0.6
1,148,21,49,6,blender,food-mixer,blender,1,high-intensity,1,1,1,0.6
1,148,211,23,6,blender,food-mixer,blender,1,high-intensity,1,1,1,0.6
1,149,34,31,3,lawn mower,maching-running,lawn mower,1,high-intensity,1,0,1,0.6
1,149,218,47,3,lawn mower,maching-running,lawn mower,1,high-intensity,1,0,1,0.6
1,150,31,46,6,paper shredder,motor,car skidding,0,high-intensity,1,0,1,0.8
1,150,224,26,6,paper shredder,motor,car engine starting,0,high-intensity,1,0,1,0.8
1,153,21,17,5,hammering a nail,hammer,hammering a nail,0.5,high-intensity,1,0,1,0.4
1,153,48,29,5,hammering a nail,hammer,toilet flushing,0.5,high-intensity,1,0,1,0.4
1,154,27,17,3,oldfashioned dialer,cash-register,oldfashioned dialer,0.5,low-intensity,1,0,1,0.4
1,154,253,1,3,oldfashioned dialer,cash-register,typing,0.5,low-intensity,1,0,1,0.4
1,163,31,37,2,hand saw,saw,hand saw,1,high-intensity,1,0,1,0.4
1,163,250,42,2,hand saw,saw,hand saw,1,high-intensity,1,0,1,0.4
1,164,14,48,3,telephone ringing,phone-ring,telephone ringing,1,high-intensity,0,0,1,0.6
1,164,156,19,3,telephone ringing,phone-ring,telephone ringing,1,high-intensity,0,0,1,0.6
1,167,11,30,1,whistle,couldn'thear,car idling,0,high-intensity,1,0,1,0.2
1,167,234,21,1,whistle,couldn'thear,key opening door,0,high-intensity,1,0,1,0.2
1,168,14,8,5,drum solo,drum,drum solo,1,high-intensity,1,0,1,0.4
1,168,183,41,5,drum solo,drum,drum solo,1,high-intensity,1,0,1,0.4
1,171,6,38,1,explosion,water,crowd cheering,0,high-intensity,1,0,1,0.2
1,171,201,1,1,explosion,water,water boiling,0,high-intensity,1,0,1,0.2
1,172,14,36,7,peeling,cutting,peeling,1,low-intensity,0,0,1,0.6
1,172,146,34,7,peeling,cutting,peeling,1,low-intensity,0,0,1,0.6
1,178,26,44,6,inflating a balloon,some-typr-of-machine,microwave,0,low-intensity,0,0,1,0.6
1,178,194,45,6,inflating a balloon,some-typr-of-machine,dialup,0,low-intensity,0,0,1,0.6
1,179,39,37,5,race car,car-going-with-high-speed,race car,1,high-intensity,1,0,1,0.4
1,179,163,36,5,race car,car-going-with-high-speed,race car,1,high-intensity,1,0,1,0.4
1,190,30,1,7,wing flapping,large-bird-flying,wing flapping,0.5,low-intensity,0,0,1,0.2
1,190,158,10,7,wing flapping,large-bird-flying,seagulls,0.5,low-intensity,0,0,1,0.2
1,194,8,39,3,drawer opening,water-hitting-rocks,stones tumbling,0,low-intensity,0,0,1,0.8
