listener,listener_trial,reverb_condition,sound_heard,distance_rating,typical_source_intensity
1,1,unaltered,gong,5,high-intensity
1,2,reverb,cash_register,5,low-intensity
1,3,unaltered,puppy_whining,1,low-intensity
1,4,reverb,vegetable_peeler,6,low-intensity
1,5,reverb,walking_with_heels,5,high-intensity
1,6,unaltered,lion_growl_and_roar,6,high-intensity
1,7,reverb,shower,5,high-intensity
1,8,reverb,chimes_in_the_wind,4,high-intensity
1,9,unaltered,hawk,5,high-intensity
1,10,unaltered,sliding_door,2,low-intensity
1,11,reverb,cellphone_vibrating,2,low-intensity
1,12,reverb,dentist_drill,6,high-intensity
1,13,unaltered,bulldozer,6,high-intensity
1,14,unaltered,crumpling_paper,6,low-intensity
1,15,unaltered,laughing,4,high-intensity
1,16,reverb,truck,8,high-intensity
1,17,unaltered,winding_up_a_device,4,low-intensity
1,18,unaltered,basketball_dribbling,5,low-intensity
1,19,unaltered,turkey_gobble,5,high-intensity
1,20,unaltered,crowd_cheering,7,high-intensity
1,21,reverb,airconditioner,5,low-intensity
1,22,unaltered,zipper,6,low-intensity
1,23,unaltered,spraying,1,low-intensity
1,24,reverb,coughing,6,high-intensity
1,25,unaltered,applause,8,high-intensity
1,26,reverb,telephone_dialing,6,low-intensity
1,27,unaltered,chainsaw_revving,6,high-intensity
1,28,reverb,road_traffic,7,high-intensity
1,29,reverb,scream,5,high-intensity
1,30,unaltered,blender,6,high-intensity
1,31,unaltered,finger_tapping,4,low-intensity
1,32,unaltered,writing_on_paper,2,low-intensity
1,33,unaltered,humming,4,low-intensity
1,34,unaltered,bike_bell,4,low-intensity
1,35,reverb,crowd_laughing,6,high-intensity
1,36,unaltered,sawing,1,high-intensity
1,37,unaltered,gargling,7,low-intensity
1,38,reverb,rotary_telephone_dialer,4,low-intensity
1,39,reverb,toothbrushing,2,low-intensity
1,40,reverb,motorboat,4,high-intensity
1,41,reverb,electric_hand_drill,6,high-intensity
1,42,reverb,stream,6,low-intensity
1,43,unaltered,grating_food,2,low-intensity
1,44,unaltered,car_accelerating,4,low-intensity
1,45,unaltered,computer_startup_sound,1,low-intensity
1,46,unaltered,writing_on_a_chalkboard,1,low-intensity
1,47,unaltered,tennis_volley,4,high-intensity
1,48,unaltered,dog_barking,5,high-intensity
1,49,reverb,car_skidding,6,high-intensity
1,50,unaltered,coloring,2,low-intensity
1,51,unaltered,thunder,9,high-intensity
1,52,reverb,walking_on_gravel,4,low-intensity
1,53,unaltered,bus,7,low-intensity
1,54,reverb,airhockey,5,high-intensity
1,55,unaltered,car_crash,4,high-intensity
1,56,reverb,keys_jingling,5,low-intensity
1,57,unaltered,vacuum,4,high-intensity
1,58,reverb,ratchet,6,low-intensity
1,59,reverb,marching,6,high-intensity
1,60,reverb,radio_or_tv_static,4,high-intensity
1,61,unaltered,cutting_with_scissors,6,low-intensity
1,62,reverb,airplane_taking_off,8,high-intensity
1,63,unaltered,grandfather_clock_chimes,6,high-intensity
1,64,reverb,songbird,5,low-intensity
1,65,unaltered,bells_jingling,5,high-intensity
1,66,reverb,whistle,2,high-intensity
1,67,reverb,walking_on_hard_surface,5,low-intensity
1,68,reverb,crickets,5,low-intensity
1,69,reverb,microwave_running,4,low-intensity
1,70,unaltered,flushing,4,low-intensity
1,71,reverb,train_warning_bell,5,high-intensity
1,72,unaltered,shuffling_cards,2,low-intensity
1,73,unaltered,camera_snapping_photos,5,low-intensity
1,74,reverb,ping_pong,5,high-intensity
1,75,reverb,cicadas,5,high-intensity
1,76,reverb,seal,5,high-intensity
1,77,reverb,horse_galloping,2,low-intensity
1,78,reverb,owl_hooting,6,low-intensity
1,79,reverb,spray_can_shaking,5,low-intensity
1,80,unaltered,boiling_water,5,low-intensity
1,81,unaltered,rain,6,high-intensity
1,82,unaltered,background_speech,1,high-intensity
1,83,reverb,breathing,5,low-intensity
1,84,reverb,pool_balls_colliding,2,high-intensity
1,85,unaltered,frog_croaking,5,low-intensity
1,86,reverb,slicing_bread,4,low-intensity
1,87,unaltered,explosion,9,high-intensity
1,88,reverb,car_power_windows,6,low-intensity
1,89,unaltered,fireworks,4,high-intensity
1,90,unaltered,boat_horn,7,high-intensity
1,91,unaltered,seagulls,6,high-intensity
1,92,reverb,running,5,low-intensity
1,93,unaltered,balloondeflating,2,low-intensity
1,94,unaltered,pig_snorting,4,high-intensity
1,95,reverb,church_bells,9,high-intensity
1,96,reverb,fire_alarm,6,high-intensity
1,97,reverb,bowling_pins_falling,5,high-intensity
1,98,reverb,dial_tone,5,low-intensity
1,99,reverb,cat_purring,7,low-intensity
1,100,reverb,car_idling,2,low-intensity
1,101,unaltered,pouring_liquid,1,low-intensity
1,102,unaltered,pepper_grinder,2,low-intensity
1,103,reverb,dog_panting,5,low-intensity
1,104,reverb,school_bell,4,high-intensity
1,105,unaltered,geese,5,high-intensity
1,106,unaltered,biting_and_chewing,2,low-intensity
1,107,unaltered,cuckoo_clock,4,high-intensity
1,108,unaltered,running_up_stairs,7,low-intensity
1,109,reverb,crow,6,high-intensity
1,110,reverb,whispering,4,low-intensity
1,111,reverb,flag_flapping,6,low-intensity
1,112,unaltered,cow_mooing,5,high-intensity
1,113,reverb,coin_in_vending_machine,5,low-intensity
1,114,reverb,dialup_internet,5,high-intensity
1,115,unaltered,wolf_howling,4,high-intensity
1,116,reverb,kettle_whistling,4,high-intensity
1,117,reverb,bees_buzzing,5,low-intensity
1,118,reverb,wind,4,low-intensity
1,119,reverb,jackhammer,7,high-intensity
1,120,reverb,blacksmith_hammering,4,high-intensity
1,121,unaltered,squeaky_toy,5,high-intensity
1,122,reverb,bicycle_skidding,6,low-intensity
1,123,unaltered,shoveling,4,low-intensity
1,124,unaltered,bus_decelerating,6,high-intensity
1,125,unaltered,rubbing_hands,1,low-intensity
1,126,reverb,suitcase_rolling,7,low-intensity
1,127,reverb,coffee_machine,7,low-intensity
1,128,reverb,popcorn,7,high-intensity
1,129,unaltered,helicopter,7,high-intensity
1,130,reverb,ballooninflating,2,low-intensity
1,131,reverb,angry_shouting,5,high-intensity
1,132,reverb,pouring_water_out_of_bottle,2,low-intensity
1,133,unaltered,newspaper_rustling,5,low-intensity
1,134,unaltered,chopping_food,2,low-intensity
1,135,reverb,crying,6,high-intensity
1,136,unaltered,clock_ticking,5,low-intensity
1,137,reverb,tearing,6,low-intensity
1,138,reverb,film_reel_turning,4,high-intensity
1,139,reverb,heart_beat,5,low-intensity
1,140,unaltered,water_dripping,2,low-intensity
1,141,reverb,fire,7,low-intensity
1,142,reverb,lawn_mower,7,high-intensity
1,143,unaltered,frying,4,low-intensity
1,144,reverb,car_engine_starting,5,high-intensity
1,145,reverb,walking_on_leaves,5,low-intensity
1,146,unaltered,velcro,2,low-intensity
1,147,unaltered,train_whistle,9,high-intensity
1,148,unaltered,rocking_chair,4,high-intensity
1,149,unaltered,truck_beeping_while_backing_up,5,high-intensity
1,150,reverb,sheep,5,high-intensity
1,151,unaltered,hammering,5,high-intensity
1,152,reverb,horse_neighing,5,high-intensity
1,153,reverb,grunting_and_groaning,7,low-intensity
1,154,unaltered,door_knocking,5,high-intensity
1,155,reverb,gavel,5,high-intensity
1,156,reverb,duck_quack,6,high-intensity
1,157,unaltered,bicycling,5,low-intensity
1,158,unaltered,typing,2,low-intensity
1,159,reverb,coin_dropping,4,low-intensity
1,160,reverb,dishes_clanking,2,high-intensity
1,161,reverb,reception_desk_bell,4,high-intensity
1,162,reverb,swimming,5,low-intensity
1,163,reverb,running_water,7,low-intensity
1,164,unaltered,elevator_door,4,low-intensity
1,165,unaltered,train_passing_by,7,high-intensity
1,166,reverb,chicken_clucking,5,low-intensity
1,167,reverb,hair_dryer,4,high-intensity
1,168,unaltered,drinking,4,low-intensity
1,169,reverb,bear,6,high-intensity
1,170,unaltered,blowing_on_bottle,2,low-intensity
1,171,unaltered,printing,2,high-intensity
1,172,unaltered,busaccelerating,7,low-intensity
1,173,unaltered,dog_drinking,5,low-intensity
1,174,reverb,rooster,6,high-intensity
1,175,unaltered,gunfire,7,high-intensity
1,176,unaltered,siren,4,high-intensity
1,177,unaltered,rattlesnake,4,low-intensity
1,178,unaltered,chair_rolling,6,low-intensity
1,179,reverb,scratching,1,low-intensity
1,180,reverb,water_splashing,9,high-intensity
1,181,unaltered,jumping_rope,5,low-intensity
1,182,reverb,running_on_gravel,4,low-intensity
1,183,unaltered,pinball_machine_sounds,2,high-intensity
1,184,reverb,glass_shattering,6,high-intensity
1,185,reverb,wings_flapping,2,low-intensity
1,186,unaltered,race_car_passing_by,8,high-intensity
1,187,reverb,motorcycle_reving,7,high-intensity
1,188,unaltered,electric_shaver,4,high-intensity
1,189,reverb,sharpening_knives,2,low-intensity
1,190,unaltered,monkey_scream,6,high-intensity
1,191,unaltered,waves_at_beach,4,high-intensity
1,192,unaltered,doorbell,6,high-intensity
2,1,reverb,heart_beat,6,low-intensity
2,2,unaltered,elevator_door,1,low-intensity
2,3,unaltered,spraying,2,low-intensity
2,4,reverb,rattlesnake,8,low-intensity
2,5,unaltered,reception_desk_bell,8,high-intensity
2,6,unaltered,bowling_pins_falling,5,high-intensity
2,7,unaltered,hair_dryer,4,high-intensity
2,8,reverb,crickets,1,low-intensity
2,9,reverb,dialup_internet,5,high-intensity
2,10,reverb,gunfire,6,high-intensity
2,11,unaltered,horse_galloping,4,low-intensity
2,12,unaltered,shower,2,high-intensity
2,13,unaltered,slicing_bread,2,low-intensity
2,14,unaltered,running_on_gravel,1,low-intensity
2,15,reverb,cellphone_vibrating,9,low-intensity
2,16,reverb,busaccelerating,7,low-intensity
2,17,unaltered,bulldozer,6,high-intensity
2,18,unaltered,newspaper_rustling,2,low-intensity
2,19,reverb,gong,5,high-intensity
2,20,reverb,jumping_rope,6,low-intensity
2,21,reverb,camera_snapping_photos,5,low-intensity
2,22,reverb,siren,6,high-intensity
2,23,reverb,train_whistle,9,high-intensity
2,24,unaltered,bear,6,high-intensity
2,25,reverb,pouring_water_out_of_bottle,5,low-intensity
2,26,unaltered,boat_horn,6,high-intensity
2,27,reverb,shoveling,5,low-intensity
2,28,unaltered,chainsaw_revving,6,high-intensity
2,29,unaltered,hawk,5,high-intensity
2,30,unaltered,pool_balls_colliding,5,high-intensity
2,31,unaltered,waves_at_beach,5,high-intensity
2,32,reverb,rocking_chair,6,high-intensity
2,33,unaltered,coffee_machine,6,low-intensity
2,34,reverb,electric_hand_drill,2,high-intensity
2,35,unaltered,tennis_volley,5,high-intensity
2,36,unaltered,train_warning_bell,4,high-intensity
2,37,unaltered,coughing,2,high-intensity
2,38,reverb,grandfather_clock_chimes,7,high-intensity
2,39,reverb,pinball_machine_sounds,6,high-intensity
2,40,unaltered,stream,7,low-intensity
2,41,unaltered,sawing,2,high-intensity
2,42,unaltered,coin_in_vending_machine,4,low-intensity
2,43,reverb,helicopter,8,high-intensity
2,44,reverb,coin_dropping,4,low-intensity
2,45,reverb,winding_up_a_device,4,low-intensity
2,46,unaltered,walking_on_gravel,5,low-intensity
2,47,unaltered,chopping_food,1,low-intensity
2,48,reverb,balloondeflating,8,low-intensity
2,49,unaltered,drinking,1,low-intensity
2,50,reverb,keys_jingling,4,low-intensity
2,51,reverb,cuckoo_clock,4,high-intensity
2,52,reverb,film_reel_turning,2,high-intensity
2,53,reverb,computer_startup_sound,4,low-intensity
2,54,reverb,chicken_clucking,6,low-intensity
2,55,unaltered,walking_on_hard_surface,1,low-intensity
2,56,reverb,running_up_stairs,5,low-intensity
2,57,unaltered,rubbing_hands,5,low-intensity
2,58,unaltered,jackhammer,4,high-intensity
2,59,unaltered,truck,6,high-intensity
2,60,unaltered,whistle,1,high-intensity
2,61,unaltered,walking_with_heels,4,high-intensity
2,62,reverb,scratching,2,low-intensity
2,63,unaltered,rain,4,high-intensity
2,64,reverb,hammering,5,high-intensity
2,65,reverb,wolf_howling,5,high-intensity
2,66,unaltered,sheep,2,high-intensity
2,67,unaltered,owl_hooting,4,low-intensity
2,68,reverb,biting_and_chewing,2,low-intensity
2,69,reverb,seal,4,high-intensity
2,70,reverb,scream,7,high-intensity
2,71,reverb,coloring,6,low-intensity
2,72,reverb,fireworks,9,high-intensity
2,73,unaltered,cicadas,5,high-intensity
2,74,reverb,train_passing_by,5,high-intensity
2,75,unaltered,motorcycle_reving,5,high-intensity
2,76,reverb,cutting_with_scissors,4,low-intensity
2,77,unaltered,fire,4,low-intensity
2,78,unaltered,suitcase_rolling,4,low-intensity
2,79,unaltered,clock_ticking,1,low-intensity
2,80,reverb,dial_tone,6,low-intensity
2,81,reverb,airplane_taking_off,5,high-intensity
2,82,unaltered,car_skidding,7,high-intensity
2,83,unaltered,shuffling_cards,2,low-intensity
2,84,reverb,kettle_whistling,6,high-intensity
2,85,unaltered,applause,5,high-intensity
2,86,unaltered,car_crash,6,high-intensity
2,87,reverb,typing,6,low-intensity
2,88,reverb,sharpening_knives,2,low-intensity
2,89,reverb,seagulls,7,high-intensity
2,90,unaltered,water_dripping,1,low-intensity
2,91,reverb,lawn_mower,4,high-intensity
2,92,reverb,crying,4,high-intensity
2,93,reverb,duck_quack,5,high-intensity
2,94,unaltered,school_bell,5,high-intensity
2,95,unaltered,geese,7,high-intensity
2,96,unaltered,background_speech,5,high-intensity
2,97,unaltered,bees_buzzing,1,low-intensity
2,98,unaltered,car_power_windows,2,low-intensity
2,99,unaltered,ping_pong,6,high-intensity
2,100,unaltered,ballooninflating,4,low-intensity
2,101,unaltered,zipper,1,low-intensity
2,102,unaltered,vacuum,4,high-intensity
2,103,reverb,pouring_liquid,5,low-intensity
2,104,unaltered,lion_growl_and_roar,5,high-intensity
2,105,unaltered,blender,5,high-intensity
2,106,unaltered,fire_alarm,6,high-intensity
2,107,reverb,flushing,6,low-intensity
