listener,listener_trial,reverb_condition,sound_heard,distance_rating,typical_source_intensity
1,1,unaltered,PouringLiquid,7,low-intensity
1,2,unaltered,rotary_telephone_dialer,6,control-low-intensity
1,3,unaltered,glass_shattering,5,control-low-intensity
1,4,reverb,humming,6,control-low-intensity
1,5,reverb,Vacuum,5,high-intensity
1,6,unaltered,WaterSplash,1,low-intensity
1,7,unaltered,slicing_bread,2,control-low-intensity
1,8,unaltered,PepperGrinder,2,low-intensity
1,9,reverb,Drill,4,high-intensity
1,10,unaltered,flag_flapping,5,control-low-intensity
1,11,unaltered,BicycleBell,4,high-intensity
1,12,unaltered,PeelingVegetable,1,low-intensity
1,13,unaltered,crowd_cheering,5,control-high-intensity
1,14,unaltered,cow_mooing,2,control-low-intensity
1,15,unaltered,pool_balls_colliding,4,control-low-intensity
1,16,reverb,finger_tapping,4,control-low-intensity
1,17,reverb,electric_shaver,5,control-low-intensity
1,18,reverb,FootstepsInSand,2,low-intensity
1,19,unaltered,busaccelerating,4,control-low-intensity
1,20,reverb,Ratchet,8,medium-intensity
1,21,unaltered,fireworks,5,control-high-intensity
1,22,reverb,writing_on_paper,7,control-low-intensity
1,23,reverb,dialup_internet,7,control-low-intensity
1,24,reverb,thunder,5,control-high-intensity
1,25,unaltered,bear,8,control-low-intensity
1,26,reverb,Chainsaw,8,high-intensity
1,27,unaltered,motorboat,2,control-high-intensity
1,28,reverb,cutting_with_scissors,5,control-low-intensity
1,29,reverb,coloring,5,control-low-intensity
1,30,unaltered,motorcycle_reving,2,control-high-intensity
1,31,unaltered,duck_quack,4,control-low-intensity
1,32,reverb,kettle_whistling,6,control-low-intensity
1,33,reverb,explosion,6,control-high-intensity
1,34,unaltered,hair_dryer,2,control-low-intensity
1,35,unaltered,ChoppingVegetables,4,low-intensity
1,36,reverb,HammerNail,5,high-intensity
1,37,unaltered,SprayCanShake,2,medium-intensity
1,38,unaltered,WalkingLeaves,7,medium-intensity
1,39,reverb,ElectricCanOpener,4,high-intensity
1,40,reverb,heart_beat,6,control-low-intensity
1,41,reverb,horse_neighing,7,control-low-intensity
1,42,unaltered,Stapler,2,medium-intensity
1,43,reverb,boat_horn,5,control-low-intensity
1,44,reverb,SawingWood,6,medium-intensity
1,45,reverb,HandsRubbing,2,low-intensity
1,46,reverb,HairDryer,6,high-intensity
1,47,reverb,HammerMetal,5,high-intensity
1,48,reverb,cat_purring,4,control-low-intensity
1,49,unaltered,whispering,1,control-low-intensity
1,50,reverb,bus,1,control-low-intensity
1,51,unaltered,Lawnmower,5,high-intensity
1,52,reverb,CompressedAirSpray,5,high-intensity
1,53,reverb,BicycleFreewheel,2,medium-intensity
1,54,unaltered,dentist_drill,2,control-low-intensity
1,55,unaltered,horse_galloping,6,control-low-intensity
1,56,reverb,clock_ticking,4,control-low-intensity
1,57,unaltered,GlassSmash,4,high-intensity
1,58,unaltered,CrumplingPaper,4,medium-intensity
1,59,reverb,CoinDrop,5,medium-intensity
1,60,unaltered,waves_at_beach,6,control-low-intensity
1,61,reverb,chainsaw_revving,8,control-high-intensity
1,62,reverb,printing,5,control-low-intensity
1,63,unaltered,bowling_pins_falling,5,control-low-intensity
1,64,reverb,SuitcaseRolling,8,low-intensity
1,65,unaltered,race_car_passing_by,9,control-high-intensity
1,66,reverb,LeafBlower,4,high-intensity
1,67,unaltered,train_passing_by,7,control-high-intensity
1,68,reverb,flushing,6,control-low-intensity
1,69,reverb,shuffling_cards,7,control-low-intensity
1,70,reverb,blender,4,control-low-intensity
1,71,reverb,writing_on_a_chalkboard,6,control-low-intensity
1,72,reverb,Hatchet,5,medium-intensity
1,73,unaltered,Typing,2,low-intensity
1,74,unaltered,ClankingDishes,6,medium-intensity
1,75,reverb,rubbing_hands,5,control-low-intensity
1,76,reverb,car_accelerating,7,control-low-intensity
1,77,unaltered,wolf_howling,5,control-low-intensity
1,78,unaltered,Shovel,2,low-intensity
1,79,unaltered,BiteChewApple,4,low-intensity
1,80,reverb,cash_register,2,control-low-intensity
1,81,unaltered,scream,8,control-high-intensity
1,82,unaltered,cuckoo_clock,5,control-low-intensity
1,83,reverb,frog_croaking,6,control-low-intensity
1,84,unaltered,owl_hooting,6,control-low-intensity
1,85,reverb,Scissors,4,low-intensity
1,86,reverb,BoilingKettle,5,medium-intensity
1,87,reverb,car_skidding,5,control-low-intensity
1,88,reverb,jackhammer,6,control-high-intensity
1,89,reverb,breathing,4,control-low-intensity
1,90,reverb,fire_alarm,5,control-high-intensity
1,91,reverb,car_idling,5,control-low-intensity
1,92,reverb,siren,4,control-high-intensity
1,93,unaltered,shower,6,control-low-intensity
1,94,reverb,angry_shouting,6,control-low-intensity
1,95,reverb,computer_startup_sound,5,control-low-intensity
1,96,reverb,drinking,7,control-low-intensity
1,97,unaltered,spraying,2,control-low-intensity
1,98,unaltered,airplane_taking_off,2,control-high-intensity
1,99,unaltered,FootsepsInPebble,2,medium-intensity
1,100,reverb,grandfather_clock_chimes,5,control-low-intensity
1,101,reverb,ElectricShaver,5,medium-intensity
1,102,reverb,NailsFromBox,5,medium-intensity
1,103,reverb,pig_snorting,5,control-low-intensity
1,104,unaltered,vegetable_peeler,6,control-low-intensity
1,105,reverb,typing,5,control-low-intensity
1,106,unaltered,BranchTrimmer,1,low-intensity
1,107,reverb,train_whistle,7,control-high-intensity
1,108,reverb,DroppingStones,6,high-intensity
1,109,unaltered,scratching,1,control-low-intensity
1,110,unaltered,CoffeeBeanGrinder,5,high-intensity
1,111,unaltered,train_warning_bell,5,control-high-intensity
1,112,unaltered,Velcro,1,medium-intensity
1,113,reverb,RustlingBranch,5,low-intensity
1,114,reverb,car_crash,5,control-high-intensity
1,115,reverb,Blender,5,high-intensity
1,116,reverb,bees_buzzing,2,control-low-intensity
2,1,unaltered,breathing,2,control-low-intensity
2,2,reverb,flag_flapping,5,control-low-intensity
2,3,reverb,writing_on_a_chalkboard,6,control-low-intensity
2,4,reverb,CompressedAirSpray,5,high-intensity
2,5,reverb,CrumplingPaper,4,medium-intensity
2,6,reverb,bowling_pins_falling,6,control-low-intensity
2,7,reverb,PeelingVegetable,6,low-intensity
2,8,unaltered,busaccelerating,6,control-low-intensity
2,9,reverb,Vacuum,5,high-intensity
2,10,reverb,jackhammer,2,control-high-intensity
2,11,unaltered,angry_shouting,2,control-low-intensity
2,12,unaltered,ElectricCanOpener,1,high-intensity
2,13,reverb,FootstepsInSand,6,low-intensity
2,14,unaltered,Lawnmower,7,high-intensity
2,15,unaltered,bees_buzzing,6,control-low-intensity
2,16,reverb,HammerNail,4,high-intensity
2,17,reverb,horse_galloping,7,control-low-intensity
2,18,unaltered,hair_dryer,7,control-low-intensity
2,19,unaltered,scratching,1,control-low-intensity
2,20,unaltered,HairDryer,1,high-intensity
2,21,reverb,WalkingLeaves,2,medium-intensity
2,22,unaltered,BicycleBell,4,high-intensity
2,23,unaltered,boat_horn,4,control-low-intensity
2,24,unaltered,spraying,4,control-low-intensity
2,25,reverb,Chainsaw,6,high-intensity
2,26,reverb,shower,5,control-low-intensity
2,27,unaltered,CoinDrop,2,medium-intensity
2,28,unaltered,train_warning_bell,2,control-high-intensity
2,29,reverb,glass_shattering,6,control-low-intensity
2,30,unaltered,WaterSplash,2,low-intensity
2,31,unaltered,whispering,1,control-low-intensity
2,32,unaltered,SuitcaseRolling,5,low-intensity
2,33,reverb,Typing,4,low-intensity
2,34,unaltered,writing_on_paper,5,control-low-intensity
2,35,reverb,ClankingDishes,6,medium-intensity
2,36,reverb,rotary_telephone_dialer,5,control-low-intensity
2,37,reverb,crowd_cheering,6,control-high-intensity
2,38,unaltered,grandfather_clock_chimes,5,control-low-intensity
2,39,reverb,coloring,5,control-low-intensity
2,40,unaltered,finger_tapping,6,control-low-intensity
2,41,unaltered,Hatchet,6,medium-intensity
2,42,reverb,train_whistle,8,control-high-intensity
2,43,unaltered,electric_shaver,4,control-low-intensity
2,44,reverb,blender,2,control-low-intensity
2,45,unaltered,pig_snorting,4,control-low-intensity
2,46,unaltered,drinking,5,control-low-intensity
2,47,reverb,kettle_whistling,7,control-low-intensity
2,48,unaltered,shuffling_cards,4,control-low-intensity
2,49,unaltered,frog_croaking,7,control-low-intensity
2,50,unaltered,fireworks,8,control-high-intensity
2,51,reverb,Blender,7,high-intensity
2,52,reverb,explosion,6,control-high-intensity
2,53,reverb,car_skidding,6,control-low-intensity
2,54,reverb,siren,6,control-high-intensity
2,55,unaltered,Velcro,2,medium-intensity
2,56,reverb,bus,7,control-low-intensity
2,57,reverb,Ratchet,6,medium-intensity
2,58,unaltered,cow_mooing,1,control-low-intensity
2,59,reverb,NailsFromBox,5,medium-intensity
2,60,unaltered,printing,2,control-low-intensity
2,61,reverb,typing,6,control-low-intensity
2,62,unaltered,clock_ticking,1,control-low-intensity
2,63,reverb,dentist_drill,2,control-low-intensity
2,64,reverb,BranchTrimmer,5,low-intensity
2,65,reverb,DroppingStones,5,high-intensity
2,66,reverb,rubbing_hands,4,control-low-intensity
2,67,unaltered,car_accelerating,5,control-low-intensity
2,68,reverb,airplane_taking_off,8,control-high-intensity
2,69,unaltered,wolf_howling,7,control-low-intensity
2,70,unaltered,HammerMetal,5,high-intensity
2,71,reverb,heart_beat,4,control-low-intensity
2,72,reverb,bear,6,control-low-intensity
2,73,unaltered,PepperGrinder,1,low-intensity
2,74,unaltered,BiteChewApple,2,low-intensity
2,75,unaltered,FootsepsInPebble,4,medium-intensity
2,76,unaltered,cutting_with_scissors,5,control-low-intensity
2,77,reverb,humming,5,control-low-intensity
2,78,unaltered,flushing,2,control-low-intensity
2,79,unaltered,ChoppingVegetables,1,low-intensity
2,80,reverb,train_passing_by,7,control-high-intensity
2,81,unaltered,CoffeeBeanGrinder,6,high-intensity
2,82,reverb,duck_quack,5,control-low-intensity
2,83,reverb,PouringLiquid,6,low-intensity
2,84,unaltered,car_crash,5,control-high-intensity
2,85,reverb,RustlingBranch,4,low-intensity
2,86,reverb,dialup_internet,5,control-low-intensity
2,87,unaltered,waves_at_beach,5,control-low-intensity
2,88,reverb,fire_alarm,4,control-high-intensity
2,89,reverb,LeafBlower,5,high-intensity
2,90,reverb,owl_hooting,7,control-low-intensity
2,91,reverb,BoilingKettle,7,medium-intensity
