listener,listener_trial,mturk_worker,mturk_trial,reverb_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,typical_source_location,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
1,2,271,11,unaltered,HandsRubbing_059dB,scrubbing_floor,HandsRubbing_059dB,0.8,low-intensity,either,1,0,0,0.6
1,2,111,47,unaltered,HandsRubbing_059dB,scrubbing_floor,electric_can_opener,0.8,low-intensity,either,1,0,0,0.6
1,2,323,18,unaltered,HandsRubbing_059dB,scrubbing_floor,HandsRubbing_059dB,0.8,low-intensity,either,1,0,0,0.6
1,2,94,30,unaltered,HandsRubbing_059dB,scrubbing_floor,HandsRubbing_059dB,0.8,low-intensity,either,1,0,0,0.6
1,2,139,79,unaltered,HandsRubbing_059dB,scrubbing_floor,HandsRubbing_059dB,0.8,low-intensity,either,1,0,0,0.6
1,7,75,21,unaltered,FootstepsInSand_055dB,sawing_wood,hands_rubbing,0,low-intensity,outdoor,1,1.5,0,0.8
1,7,56,72,unaltered,FootstepsInSand_055dB,sawing_wood,shower,0,low-intensity,outdoor,1,1.5,0,0.8
1,7,112,50,unaltered,FootstepsInSand_055dB,sawing_wood,scissors,0,low-intensity,outdoor,1,1.5,0,0.8
1,7,307,49,unaltered,FootstepsInSand_055dB,sawing_wood,scissors,0,low-intensity,outdoor,1,1.5,0,0.8
1,7,175,20,unaltered,FootstepsInSand_055dB,sawing_wood,breathing,0,low-intensity,outdoor,1,1.5,0,0.8
1,11,149,6,reverb,PepperGrinder_056dB,train,train_warning_bell,0,low-intensity,indoor,1,1,0,1
1,11,323,78,reverb,PepperGrinder_056dB,train,train_warning_bell,0,low-intensity,indoor,1,1,0,1
1,11,279,45,reverb,PepperGrinder_056dB,train,train_warning_bell,0,low-intensity,indoor,1,1,0,1
1,11,294,49,reverb,PepperGrinder_056dB,train,train_warning_bell,0,low-intensity,indoor,1,1,0,1
1,11,287,22,reverb,PepperGrinder_056dB,train,train_warning_bell,0,low-intensity,indoor,1,1,0,1
1,16,38,49,reverb,RustlingBranch_052dB,gate_closing,grandfather_clock_chimes,0.2,low-intensity,outdoor,1,1.5,0,1
1,16,8,67,reverb,RustlingBranch_052dB,gate_closing,pouring_liquid,0.2,low-intensity,outdoor,1,1.5,0,1
1,16,322,23,reverb,RustlingBranch_052dB,gate_closing,bicycle_freewheel,0.2,low-intensity,outdoor,1,1.5,0,1
1,16,176,13,reverb,RustlingBranch_052dB,gate_closing,RustlingBranch_052dB,0.2,low-intensity,outdoor,1,1.5,0,1
1,16,238,32,reverb,RustlingBranch_052dB,gate_closing,grandfather_clock_chimes,0.2,low-intensity,outdoor,1,1.5,0,1
1,25,256,79,unaltered,Shovel_059dB,striking_a_match,Shovel_059dB,0.2,low-intensity,outdoor,1,1.5,0,0.2
