listener,listener_trial,reverb_condition,sound_heard,natural_rating,typical_source_intensity,typical_source_location,distance_matched_subset
1,1,reverb,Zipper_058dB,3,low-intensity,either,1.5
1,2,reverb,bowling_pins_falling,3,control-low-intensity,control-indoor,0
1,3,reverb,typing,4,control-low-intensity,control-outdoor,0
1,4,unaltered,Drill_101dB,3,high-intensity,either,1.5
1,5,reverb,breathing,5,control-low-intensity,control-outdoor,0
1,6,unaltered,shuffling_cards,3,control-low-intensity,control-outdoor,0
1,7,reverb,PepperGrinder_056dB,2,low-intensity,indoor,1
1,8,unaltered,Hatchet_078dB,1,high-intensity-in-plot-5C-medium-otherwise,outdoor,0.5
1,9,unaltered,clock_ticking,1,control-low-intensity,control-indoor,0
1,10,reverb,busaccelerating,3,control-low-intensity,control-outdoor,0
1,11,unaltered,grandfather_clock_chimes,3,control-low-intensity,control-indoor,0
1,12,unaltered,horse_neighing,5,control-low-intensity,control-outdoor,0
1,13,unaltered,LeafBlower_114dB,4,high-intensity,outdoor,1.5
1,14,unaltered,flushing,4,control-low-intensity,control-indoor,0
1,15,reverb,BiteChewApple_057dB,4,low-intensity,either,1.5
1,16,reverb,train_warning_bell,1,control-high-intensity,control-outdoor,0
1,17,reverb,wolf_howling,3,control-low-intensity,control-outdoor,0
1,18,unaltered,angry_shouting,2,control-low-intensity,control-outdoor,0
1,19,reverb,cutting_with_scissors,1,control-low-intensity,control-outdoor,0
1,20,unaltered,CoffeeBeanGrinder_084dB,3,high-intensity,indoor,1
1,21,reverb,FootsepsInPebbles_69dB,4,medium-intensity,outdoor,0
1,22,reverb,Ratchet_075dB,2,medium-intensity,either,1.5
1,23,unaltered,Scissors_062dB,1,low-intensity,indoor,1.5
1,24,reverb,humming,2,control-low-intensity,control-outdoor,0
1,25,reverb,heart_beat,4,control-low-intensity,control-outdoor,0
1,26,unaltered,owl_hooting,5,control-low-intensity,control-outdoor,0
1,27,unaltered,bees_buzzing,3,control-low-intensity,control-outdoor,0
1,28,reverb,finger_tapping,4,control-low-intensity,control-outdoor,0
1,29,unaltered,frog_croaking,4,control-low-intensity,control-outdoor,0
1,30,reverb,SprayCanShake_076dB,5,high-intensity-in-plot-5C-medium-otherwise,outdoor,1.5
1,31,reverb,car_idling,3,control-low-intensity,control-outdoor,0
1,32,unaltered,ElectricCanOpener_083dB,4,high-intensity,indoor,1.5
1,33,reverb,fire_alarm,3,control-high-intensity,control-outdoor,0
1,34,reverb,GlassSmash_102dB,4,high-intensity,either,1.5
1,35,unaltered,writing_on_paper,2,control-low-intensity,control-outdoor,0
1,36,unaltered,Blender_088dB,5,high-intensity,indoor,0
1,37,reverb,HairDryer_092dB,4,high-intensity,indoor,1.5
1,38,reverb,jackhammer,2,control-high-intensity,control-outdoor,0
1,39,unaltered,fireworks,5,control-high-intensity,control-outdoor,0
1,40,unaltered,WalkingLeaves_069dB,1,low-intensity-in-plot-5C-medium-otherwise,outdoor,1.5
1,41,unaltered,rubbing_hands,3,control-low-intensity,control-outdoor,0
1,42,reverb,scream,5,control-high-intensity,control-outdoor,0
1,43,reverb,scratching,3,control-low-intensity,control-outdoor,0
1,44,unaltered,CoinDrop_065dB,5,medium-intensity,either,1
1,45,reverb,hair_dryer,3,control-low-intensity,control-indoor,0
1,46,reverb,car_crash,2,control-high-intensity,control-outdoor,0
1,47,reverb,blender,1,control-low-intensity,control-outdoor,0
1,48,reverb,spraying,2,control-low-intensity,control-outdoor,0
1,49,unaltered,train_passing_by,4,control-high-intensity,control-outdoor,0
1,50,reverb,slicing_bread,5,control-low-intensity,control-outdoor,0
1,51,unaltered,SuitcaseRolling_052dB,5,low-intensity,either,1.5
1,52,unaltered,dentist_drill,4,control-low-intensity,control-indoor,0
1,53,unaltered,BranchTrimmer_053dB,1,low-intensity,outdoor,1.5
1,54,unaltered,siren,1,control-high-intensity,control-outdoor,0
1,55,unaltered,thunder,4,control-high-intensity,control-outdoor,0
1,56,unaltered,writing_on_a_chalkboard,4,control-low-intensity,control-indoor,0
1,57,unaltered,ElectricShaver_072dB,4,medium-intensity,indoor,1.5
