listener,listener_trial,mturk_worker,mturk_trial,level_condition,noise_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity
1,1,417,48,4,0,crowd booing,beeping noises,crowd booing,0.5,high-intensity
1,1,500,45,4,0,crowd booing,beeping noises,acoustic bass,0.5,high-intensity
1,2,213,23,5,1,dove cooing,water being poured out of a bottle,dove cooing,0.5,low-intensity
1,2,652,2,5,1,dove cooing,water being poured out of a bottle,duck quack,0.5,low-intensity
1,4,260,8,6,0,man speaking,a party blower thingy,man speaking,1,2
1,4,917,27,6,0,man speaking,a party blower thingy,man speaking,1,2
1,7,109,23,2,0,hammering a nail,a phone ringing,walking on a hard surface,0,high-intensity
1,7,475,19,2,0,hammering a nail,a phone ringing,walking with heels,0,high-intensity
1,9,846,2,4,1,fan,walking on a sidewalk on a rainy day,fan,0.5,2
1,9,899,13,4,1,fan,walking on a sidewalk on a rainy day,humming,0.5,2
1,12,30,24,3,1,car driving through a puddle,a warewolf laughing in a distant tunnel,running on sand,0,2
1,12,698,49,3,1,car driving through a puddle,a warewolf laughing in a distant tunnel,grunting and groaning,0,2
1,13,204,15,4,0,a capella singing,crumpling up paper,a capella singing,1,3
1,13,236,42,4,0,a capella singing,crumpling up paper,a capella singing,1,3
1,16,417,16,2,1,door sliding shut,pool balls hitting each other,door sliding shut,1,low-intensity
1,16,889,44,2,1,door sliding shut,pool balls hitting each other,door sliding shut,1,low-intensity
1,17,153,40,6,0,baby crying,white crackling noises,baby crying,1,high-intensity
1,17,920,26,6,0,baby crying,white crackling noises,baby crying,1,high-intensity
1,19,475,30,5,0,rain,church bells ringing,rain,1,3
1,19,883,16,5,0,rain,church bells ringing,rain,1,3
1,20,30,33,6,1,liquid pouring out of a bottle,some electronic device humming noise,liquid pouring out of a bottle,1,2
1,20,846,19,6,1,liquid pouring out of a bottle,some electronic device humming noise,liquid pouring out of a bottle,1,2
1,21,593,28,7,0,dice roll,an organ,dice roll,1,low-intensity
1,21,858,32,7,0,dice roll,an organ,dice roll,1,low-intensity
1,23,652,35,3,1,harp,brushing teeth,harp,1,2
1,23,846,20,3,1,harp,brushing teeth,harp,1,2
1,27,59,36,5,0,coloring,walking in the snow,shopping cart,0.5,low-intensity
1,27,60,2,5,0,coloring,walking in the snow,coloring,0.5,low-intensity
1,28,74,29,4,1,can opening,a television,can opening,1,low-intensity
1,28,920,11,4,1,can opening,a television,can opening,1,low-intensity
1,31,59,4,7,0,geese honking,jingle bells on a sleigh,geese honking,1,3
1,31,890,39,7,0,geese honking,jingle bells on a sleigh,geese honking,1,3
1,32,30,7,4,1,gunshots,people tapping out a beat with a small stick,gunshots,0.5,high-intensity
1,32,917,11,4,1,gunshots,people tapping out a beat with a small stick,cat purring,0.5,high-intensity
1,35,110,42,5,0,applause,pressing buttons on a phone,applause,1,high-intensity
1,35,698,46,5,0,applause,pressing buttons on a phone,applause,1,high-intensity
1,36,87,16,6,1,knocking on door,electronic noise,knocking on door,1,3
1,36,281,16,6,1,knocking on door,electronic noise,knocking on door,1,3
1,38,151,20,3,1,bees,moving around in a metal room,bees,1,low-intensity
1,38,181,7,3,1,bees,moving around in a metal room,bees,1,low-intensity
1,39,475,17,6,0,crumpling paper,a toybox playing music,crumpling paper,1,2
1,39,740,12,6,0,crumpling paper,a toybox playing music,crumpling paper,1,2
1,42,705,47,2,1,ratchet,clipping nails,key opening door,0,2
1,42,849,19,2,1,ratchet,clipping nails,noisemaker,0,2
1,43,563,9,6,0,electric bass,door creaking,electric bass,1,3
1,43,899,11,6,0,electric bass,door creaking,electric bass,1,3
1,44,204,31,5,1,cicadas,floor panels creaking,drawer opening,0.5,3
1,44,593,12,5,1,cicadas,floor panels creaking,cicadas,0.5,3
1,46,142,48,7,1,rattlesnake,metal on metal clicking noise,rattlesnake,1,2
1,46,407,47,7,1,rattlesnake,metal on metal clicking noise,rattlesnake,1,2
1,48,123,50,3,0,horse galloping,cars in a distance,horse galloping,1,2
1,48,698,21,3,0,horse galloping,cars in a distance,horse galloping,1,2
1,51,439,29,7,0,laughing,rapid panicking inhaling sounds,laughing,1,high-intensity
1,51,645,1,7,0,laughing,rapid panicking inhaling sounds,laughing,1,high-intensity
1,52,37,40,3,0,traffic noises,bells,traffic noises,1,high-intensity
1,52,917,19,3,0,traffic noises,bells,traffic noises,1,high-intensity
1,54,833,46,3,0,flag,more sand paper,flag,1,low-intensity
1,54,867,48,3,0,flag,more sand paper,flag,1,low-intensity
1,55,30,46,3,1,gargling,leaning back in a chair and chair creaking,vacuum,0,low-intensity
1,55,541,8,3,1,gargling,leaning back in a chair and chair creaking,liquid pouring out of a bottle,0,low-intensity
